,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name,Energy Cost,Source,Type,Subtype,Speed,Offense,Defense,RulesText,FlavorText,image,CommentsTags,Comments,RelatedCards,TagsReal,Formats,Set
BEGIN_CARDS,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
--- Created Cards ---,,,,,,,,The following cards cannot be put into your deck and are primarily created by other cards.,,,,,,,,
"Pyrus, Returned",2,e,Unit,Inkblood Archmage,-1,3,1,"Arrive<reality>: Destroy all other allied<reality> inkbloods to deal damage equal to twice the number that died this round to target<reality> card or player.
Enemy cards cost 1<energy> more.","A man named Pyrus sought imortality, so a new man named Pyrus was created.

Idk this is kinda bullshit text but whatever",y,,,,#created,,
Knight of Redemption,1,,Unit,Human Knight,-1,1,1,∞<speed> Whenever you resolve a nonunit card | Give ~ +1<offense> +1<defense> this round.,,y,,,,#created,,
Clue / Supply Cache,1,,Item,,0,,1,"Stacking
<X> = The number of stack counters on ~.
Skill∞<speed> | <energyX>, discard<board> ~: Draw <X> cards.",,y,,,,#created,,
Energy Flask,1,,Item,,0,,1,"Stacking
Skill∞<speed> | Discard ~: +1<energy> for each stack counter on ~.",,y,,,,#created,,
Three Paths,1,,Spell,,1,,1,"Choose one --
- Deal 1 damage to target<reality><dream> card or player.
- Cache the top card of your deck.
- Give target<reality><dream> card +2<offense> +2<defense> this round.",,y,,find a better name for this?,,#created,,
Watchman,1,,Unit,,0,2,1,Formation,,n,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
---,,,,,,,,,,,,,,,,
--- Arca ---,,,,,,,,,,,,,,,,
Eudoxia Unshackled,4,aaa,Unit,Zombie Paladin,-3,4,4,"Forget 6
Arrive<reality>: Target player's life total becomes 10.",,y,#int #Forget #memory2,,,,,
Remember the Fallen,2,aa,Spell,,1,,2,"Recall up to 2 target<memory> units.
Take 2 damage.",,y,#recall1,,,,,
Memory Wraith,1,aa,Unit,Nightmare,0,5,5,Forget 6,,y,#memory2 #threat,,,,,
Soul Splitter,4,aa,Item,,-1,,4,∞<speed> Whenever an allied unit arrives<reality>: Trigger it's ∞<speed> speed Dies and Depart<reality> abilities.,,y,#wincon #aristocrats #dies2 #engine,,,,,
Triple Spell,3,aa,Spell,,3,,3,Destroy target<reality> allied unit to copy target<dream> spell twice. You may choose new targets for the copies.,,y,#Spells #aristocrats #dies2,,,,,
Prismatic Refractor,4,aaa,Item,,-1,,3,"Vanishing
∞<speed> Whenever you channel a card: Create<reality> an Energy Flask. 
You cannot draw cards.",,y,#engine,,,,,
Forsaken Warlock,2,aa,Unit,Warlock,2,2,1,"Arrive<reality>: Choose one --
- Each player discards<reality> a unit.
- Give target unit lifesteal this round.
- Draw 1.",,y,#int #lifechange1,,,,,
Lekvian Butler,1,aa,Unit,Vampire,0,2,1,∞<speed> Arrive<reality>: Draw 1 and take 2 damage.,,y,#lifechange1 #aggro,,,,,
Lekvian Valet,2,aa,Unit,Vampire,0,2,3,∞<speed> Strike: Draw 1 and take 2 damage.,,y,#lifechange1 #striketrigger,,,,,
Eternal Guard,3,aa,Spell,,0,,3,Summon target<memory> unit and/or target<memory> item with base costs 2 or less.,,y,#memory2,,,,,
Headfirst,2,aa,Spell,,0,,2,"Target<reality> allied unit strikes target<reality> card or player, then is discarded.",,y,#Board_Discard1 #burn #int,,,,,
Spirt Guide,3,aa,Unit,Cleric,0,3,3,"∞<speed> Arrive<reality>: Discard<reality> a unit, then summon it from memory.",,y,#Board_Discard1 #dies2,#1,,,,
Warlock Hoarder,2,aa,Unit,Warlock,-1,2,3,∞<speed> Attack: Discard<reality> any number of cards to create<reality> that many Supply Caches.,,y,#Board_Discard1 #items1,,,,,
Battlefield Scavenger,2,a,Unit,Merchant,-1,3,1,∞<speed> Arrive<reality>: Cache the top card of your deck for each unit that died this round.,,y,#dies2,,,,,
Recurring Menace,2,aa,Unit,Zombie,-1,3,1,<memory> | When the third unit dies in a round: Summon ~ from memory.,,y,#dies2 #memory2,,,,,
Squiggly Slime,1,a,Unit,,0,1,1,∞<speed> Wenever an allied card dies: Give ~ a +1<offense> +1<defense> counter.,,y,#countes1 #dies2,,,,,
The Departed,1,aa,Unit,,0,1,1,∞<speed> Depart<reality>: Draw 1.,,y,#^Depart<reality>,,,,,
Gelatinous Cube,2,a,Unit,,0,1,1,Attack: Discard<reality> any number of cards to give ~ that many +1<offense> +1<defense> counters.,,y,#Board_Discard1 #counters1 #attacktrigger,,,,,
Get Back In There!,1,aa,Spell,,-1,,3,"Summon target<memory> unit with base cost 3 or less. 
Recast | 2<arca>, Discard<reality> 2 cards.",,y,#reanimate1 #memory2,,,,,
